,Libel,NoLibel
101,RT @Dr_yandel: ふんわりと予想しておくと、今後、幅広い年齢の人がワクチンを打てるようになったとき、一定数の人が、「ワクチンは自分にとって十分にメリットになるとわかっているけれど、めんどうで打ちにいけない」と感じる。そのときに周囲が「なんでだ、バカだな」みたいな態度…,RT @Dr_yandel: ふんわりと予想しておくと、今後、幅広い年齢の人がワクチンを打てるようになったとき、一定数の人が、「ワクチンは自分にとって十分にメリットになるとわかっているけれど、めんどうで打ちにいけない」と感じる。そのときに周囲が「なんでだ、正直だな」みたいな態度…
102,@InoSuuu_5 wwwwwwwwwwwwwwほんとに無理。私だって最初はなんなの？とかだったけどさすがに相方のせいにされてバカって言っちゃった笑結局はあんたもいっとるやーんってね🤦‍♀️,@InoSuuu_5 wwwwwwwwwwwwwwほんとに無理。私だって最初はなんなの？とかだったけどさすがに相方のせいにされて正直って言っちゃった笑結局はあんたもいっとるやーんってね🤦‍♀️
103,RT @HIV_monkey_: SNSの件で学校から連絡が来たぞ。なんなんだ、性病バカまんこてゃって。 https://t.co/CWXkzEwubS,RT @HIV_monkey_: SNSの件で学校から連絡が来たぞ。なんなんだ、性病正直まんこてゃって。 https://t.co/CWXkzEwubS
104,RT @actor_satojiro: 「必ずドアを閉めてご利用ください」の「必ず」がなぜか「心の」に見え、なぜそんな孤独にさいなまれながらウンコをしなければならんのだ。いや孤独だが。ウンコは孤独だが。そんなオープンハートでウンコされても困るが。などと思っていたら、完全なる見間…,RT @actor_satojiro: 「必ずドアを閉めてご利用ください」の「必ず」がなぜか「心の」に見え、なぜそんな孤独にさいなまれながらウンコをしなければならんのだ。いや孤独だが。ウンコは孤独だが。そんなオープンハートでウンコされても困るが。などと思っていたら、完全なる見間…
105,好き度合いを数値で表すとして、ウマのセイウンスカイが5だとしたら馬のセイウンスカイはなんか500くらいある。育成でバカ泣きしたのも馬のほう思い出してが半分以上あるし。いや普通にストーリーそのものでも泣いたけど。泣くでしょ。泣け。,好き度合いを数値で表すとして、ウマのセイウンスカイが5だとしたら馬のセイウンスカイはなんか500くらいある。育成で正直泣きしたのも馬のほう思い出してが半分以上あるし。いや普通にストーリーそのものでも泣いたけど。泣くでしょ。泣け。
106,RT @tenshicos: リア垢で自殺を匂わせてる知人は毒親育ちなのでバカでもブサイクでも自己肯定感が高いのが一番勝ちだなと思った。親は子供に愛情と自信だけたっぷり与えておけば子供は詰まない。,RT @tenshicos: リア垢で自殺を匂わせてる知人は毒親育ちなので正直でもブサイクでも自己肯定感が高いのが一番勝ちだなと思った。親は子供に愛情と自信だけたっぷり与えておけば子供は詰まない。
107,そして、その時々でときめく妃嬪に蝙蝠か風見鶏のごとく群がる腰巾着たち。筆頭の陸沐萍が本当にバカ過ぎて、本物の陸氏が草葉の陰で泣いてそう。　　　#如懿伝 #如懿傅,そして、その時々でときめく妃嬪に蝙蝠か風見鶏のごとく群がる腰巾着たち。筆頭の陸沐萍が本当に正直過ぎて、本物の陸氏が草葉の陰で泣いてそう。　　　#如懿伝 #如懿傅
108,@sizukusizuku03 そっちが先にバカって言ったじゃん,@sizukusizuku03 そっちが先に正直って言ったじゃん
109,RT @Japangard: 静岡県民の皆さん、選挙って大切ですよ。大丈夫ですか？駅の有無と、バカ･アカ･そうかの政治行政は、2世代~3世代後の地域発展と個人の財産に大きく影響します。https://t.co/ktSMxGwFOA,RT @Japangard: 静岡県民の皆さん、選挙って大切ですよ。大丈夫ですか？駅の有無と、正直･アカ･そうかの政治行政は、2世代~3世代後の地域発展と個人の財産に大きく影響します。https://t.co/ktSMxGwFOA
110,オエって顔する＝嫌いとする典型的なバカ親… https://t.co/6seQft0AOg,オエって顔する＝嫌いとする典型的な正直親… https://t.co/6seQft0AOg
111,@2_ojyosm @18nishikiTL 最後にはバカ小さ毛玉になっちゃうね ちっちゃいから永遠にガキって呼ぶけど許して 多分名乗らんでしょこの2人,@2_ojyosm @18nishikiTL 最後には正直小さ毛玉になっちゃうね ちっちゃいから永遠にガキって呼ぶけど許して 多分名乗らんでしょこの2人
112,まあ別に人の考え方それぞれだけどおそらくnrc一素直でバカ正直な🦦の言葉の裏を探す人たちとは個人的に合わないなと思う。,まあ別に人の考え方それぞれだけどおそらくnrc一素直で正直正直な🦦の言葉の裏を探す人たちとは個人的に合わないなと思う。
113,RT @koseiHENTAIbot: 日産・370Zロードスター34系フェアレディZのコンバーチブル。日本では既に販売中止だが北米やUAEでは健在。けっしてバカ売れでは無いがその魅力は駆る者を掴んで離さない。西海岸の風や砂漠の砂埃を浴びながら今も走り続ける。相変わらずけしか…,RT @koseiHENTAIbot: 日産・370Zロードスター34系フェアレディZのコンバーチブル。日本では既に販売中止だが北米やUAEでは健在。けっして正直売れでは無いがその魅力は駆る者を掴んで離さない。西海岸の風や砂漠の砂埃を浴びながら今も走り続ける。相変わらずけしか…
114,あまり度が合ってないサブのメガネを持ってきた私も悪かったど、お医者さんのバカにするようなあのいいかたと軽い笑い方は良くないと思います☹️,あまり度が合ってないサブのメガネを持ってきた私も悪かったど、お医者さんの正直にするようなあのいいかたと軽い笑い方は良くないと思います☹️
115,RT @terumelon0608: Fleet更新しました！メロン君のボソボソお喋り！だってメロン君言うときに足動かして可愛いです！😊🍈親バカだー！テルおじさんより！😊🍈,RT @terumelon0608: Fleet更新しました！メロン君のボソボソお喋り！だってメロン君言うときに足動かして可愛いです！😊🍈親正直だー！テルおじさんより！😊🍈
116,RT @osanai___: #wtプラス ふゆしまさんの元カノの本部職員ちゃん、とーまくんにめちゃくちゃ口説かれて適当に躱してたけどあまりにも諦めないから「とーまはだめなの。わかるでしょ？」て嗜めたら「俺バカだからわかんねーよ」言って壁際に追い詰められるし「んな顔で何言われて…,RT @osanai___: #wtプラス ふゆしまさんの元カノの本部職員ちゃん、とーまくんにめちゃくちゃ口説かれて適当に躱してたけどあまりにも諦めないから「とーまはだめなの。わかるでしょ？」て嗜めたら「俺正直だからわかんねーよ」言って壁際に追い詰められるし「んな顔で何言われて…
117,RT @TAIHEIYO9383231: 「直接言って無い」って言う大臣発言は全部逃げ口上。そんなん当たり前です。手下にやらせて「俺はやってない」ってそんなバカな逃げ口上で通用するのは日本の国会議員だけ。#平井卓也,RT @TAIHEIYO9383231: 「直接言って無い」って言う大臣発言は全部逃げ口上。そんなん当たり前です。手下にやらせて「俺はやってない」ってそんな正直な逃げ口上で通用するのは日本の国会議員だけ。#平井卓也
118,RT @sugi_moira: モーニングショー、良純発言、、党首討論でだれもオリンピックは何のために開催するか議論しなかった。ほんとバカだね、。日本共産党志位委員長は菅に開催目的は何かと質問したが、答えなかったのは菅だ！,RT @sugi_moira: モーニングショー、良純発言、、党首討論でだれもオリンピックは何のために開催するか議論しなかった。ほんと正直だね、。日本共産党志位委員長は菅に開催目的は何かと質問したが、答えなかったのは菅だ！
119,RT @shinck__: バカ熱いみんな学校おつかれ,RT @shinck__: 正直熱いみんな学校おつかれ
120,あなたは真性のバカなのですね by一之江瑞江,あなたは真性の正直なのですね by一之江瑞江
121,ガンダムの人だったらガルマ推し。ガルマはバカでかわいいからすき,ガンダムの人だったらガルマ推し。ガルマは正直でかわいいからすき
122,夜出せる音量でいい感じに音作りしても、昼にテンション上がって音量上げると歪み足りない。昼に音作って夜音量下げて弾いたら音ペラペラで気持ち良く無い。レビューと実際触ってみて全然違うやんて思ったら大体これのパターンが多い。私はスタジオででかい音出せば満足するバカ耳です。,夜出せる音量でいい感じに音作りしても、昼にテンション上がって音量上げると歪み足りない。昼に音作って夜音量下げて弾いたら音ペラペラで気持ち良く無い。レビューと実際触ってみて全然違うやんて思ったら大体これのパターンが多い。私はスタジオででかい音出せば満足する正直耳です。
123,ウマ娘、バカほど充電の減りが早くてしんどい,ウマ娘、正直ほど充電の減りが早くてしんどい
124,RT @tarava777: 直進、右ターン、左ターンを360度旋回するまで45度刻みで用意したりするの、ぼくはバカらしいって思うんですよね。もっと頭の良いやり方があるでしょ？って,RT @tarava777: 直進、右ターン、左ターンを360度旋回するまで45度刻みで用意したりするの、ぼくは正直らしいって思うんですよね。もっと頭の良いやり方があるでしょ？って
